iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUS,Oceania,Australia,3/13/2020,200,72,20,3,0,0.143,7.755,2.792,0.776,0.116,0,0.006,2.33,,,,,,,,,16685,1829,0.647,0.071,,,,,tests performed,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/14/2020,250,50,26.714,3,0,0.143,9.694,1.939,1.036,0.116,0,0.006,2.32,,,,,,,,,20496,3811,0.795,0.148,1957,0.076,0.0137,73.3,tests performed,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/15/2020,297,47,31.571,3,0,0,11.517,1.823,1.224,0.116,0,0,2.32,,,,,,,,,22567,2071,0.875,0.08,2193,0.085,0.0144,69.5,tests performed,,,,,,,,,,,,,,19.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-991.1,-3.02,-2.43,-38.43228091
AUS,Oceania,Australia,3/16/2020,377,80,40.857,3,0,0,14.619,3.102,1.584,0.116,0,0,2.39,,,,,,,,,44570,22003,1.728,0.853,5171,0.201,0.0079,126.6,tests performed,,,,,,,,,,,,,,30.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/17/2020,452,75,49.286,5,2,0.286,17.527,2.908,1.911,0.194,0.078,0.011,2.4,,,,,,,,,51057,6487,1.98,0.252,6003,0.233,0.0082,121.8,tests performed,,,,,,,,,,,,,,30.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/18/2020,568,116,62.857,6,1,0.429,22.026,4.498,2.437,0.233,0.039,0.017,2.44,,,,,,,,,58074,7017,2.252,0.272,6836,0.265,0.0092,108.8,tests performed,,,,,,,,,,,,,,36.11,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/19/2020,681,113,79,6,0,0.429,26.407,4.382,3.063,0.233,0,0.017,2.45,,,,,,,,,103341,45267,4.007,1.755,12641,0.49,0.0062,160,tests performed,,,,,,,,,,,,,,44.44,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/20/2020,791,110,84.429,7,1,0.571,30.673,4.266,3.274,0.271,0.039,0.022,2.44,,,,,,,,,110784,7443,4.296,0.289,13443,0.521,0.0063,159.2,tests performed,,,,,,,,,,,,,,47.22,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/21/2020,1071,280,117.286,7,0,0.571,41.531,10.858,4.548,0.271,0,0.022,2.51,,,,,,,,,122504,11720,4.75,0.454,14573,0.565,0.008,124.3,tests performed,,,,,,,,,,,,,,47.22,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/22/2020,1549,478,178.857,7,0,0.571,60.066,18.536,6.936,0.271,0,0.022,2.48,,,,,,,,,132593,10089,5.142,0.391,15718,0.61,0.0114,87.9,tests performed,,,,,,,,,,,,,,47.22,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-982.4,-2.74,0.29,-38.09491754
AUS,Oceania,Australia,3/23/2020,1682,133,186.429,7,0,0.571,65.224,5.157,7.229,0.271,0,0.022,2.28,,,,,,,,,143638,11045,5.57,0.428,14153,0.549,0.0132,75.9,tests performed,,,,,,,,,,,,,,52.78,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
