x,y
94749.827,1212.001
94763.75,1212.349
94794.033,1212.349
94820.139,1212.349
94843.46,1212.698
94868.869,1213.046
94892.887,1213.046
4904.405,140.844
4912.048,141.001
4920.408,141.158
4929.844,141.27
4940.199,141.427
4949.388,141.606
4960.393,141.763
4969.941,141.875
4979.242,142.077
4990.046,142.301
5002.53,142.615
5016.202,142.817
5029.134,143.063
5042.492,143.287
5053.811,143.534
5066.654,143.713
5082.164,143.96
5100.318,144.229
5130.778,144.408
5165.563,144.632
5207.14,144.968
5256.695,145.26
5304.525,145.574
5354.17,145.865
5410.674,146.044
5459.131,146.268
5506.871,146.56
5548.784,146.694
5587.827,146.918
5620.64,147.165
5650.741,147.456
5682.187,147.77
5712.781,148.017
5734.096,148.33
5755.836,148.622
5773.588,148.823
5782.06,148.958
5793.311,149.137
5806.983,149.429
5820.095,149.675
5831.705,149.944
5843.629,150.235
5854.903,150.504
5866.692,150.818
5875.949,151.154
5885.026,151.356
5894.529,151.558
5902.934,151.782
5910.017,151.961
5915.642,152.118
5918.287,152.342
5921.582,152.522
5925.258,152.679
5928.014,152.768
5930.592,152.858
5932.9,152.925
5934.514,153.037
5936.24,153.104
5938.055,153.194
5939.714,153.306
5941.261,153.373
5942.404,153.485
5943.659,153.575
5944.578,153.597
5945.429,153.642
5946.147,153.687
5946.729,153.71
5947.245,153.754
5947.693,153.777
5948.253,153.777
5948.679,153.799
306900.742,1809.861
306900.742,1809.861
316751.558,1809.861
320629.832,1822.789
326925.563,1822.789
326925.563,1822.789
341391.525,1822.789
341391.525,1822.789
341391.525,1822.789
361752.463,1822.789
368978.98,1822.789
373594.126,1822.789
373594.126,1822.789
386379.502,1835.716
386379.502,1835.716
386379.502,1835.716
386379.502,1835.716
386379.502,1835.716
386379.502,1835.716
416280.994,1861.571
426933.32,1861.571
426933.32,1861.571
426933.32,1861.571
426933.32,1861.571
448599.943,1874.499
452827.262,1874.499
452827.262,1874.499
459653.024,1874.499
459653.024,1874.499
459653.024,1874.499
464849.911,1874.499
464849.911,1874.499
469465.057,1887.427
471468.832,1900.354
473136.489,1900.354
473136.489,1900.354
473136.489,1900.354
475838.354,1900.354
475838.354,1900.354
478178.245,1913.282
479277.09,1913.282
480130.31,1913.282
480130.31,1913.282
480130.31,1913.282
481901.388,1926.209
482987.305,1939.137
484163.715,1939.137
485068.645,1939.137
485934.793,1939.137
485934.793,1939.137
485934.793,1939.137
485934.793,1939.137
488921.064,1952.065
489968.198,1952.065
490705.07,1952.065
491235.101,1952.065
491235.101,1952.065
491235.101,1952.065
491235.101,1952.065
493381.079,1952.065
494466.996,1952.065
495669.261,1952.065
496858.598,1952.065
496858.598,1952.065
496858.598,1952.065
499263.128,1952.065
500426.61,1964.992
501512.527,1964.992
501512.527,1964.992
501512.527,1964.992
501512.527,1964.992
2428.212,52.22
2443.595,52.22
2468.467,52.308
2495.048,52.396
2553.103,52.721
2582.248,53.015
2616.138,53.31
2630.165,53.605
2643.927,53.811
2661.55,53.988
2686.068,54.224
2708.436,54.282
2728.298,54.43
2749.545,54.577
2756.087,54.725
2761.097,54.901
2769.349,54.99
2778.219,55.108
2793.071,55.314
2806.067,55.432
2819.505,55.52
2826.165,55.579
2846.205,55.638
2866.273,55.638
2876.028,55.726
2882.452,55.756
2885.075,55.785
2888.847,55.785
2889.672,55.815
2890.232,55.844
2891.411,55.844
2894.652,55.844
2895.86,55.844
2897.393,55.874
2898.012,55.874
2898.336,55.874
2898.719,55.874
2900.045,55.874
2900.487,55.874
2901.342,55.874
2901.961,55.903
2902.756,55.933
2903.139,55.933
2903.139,55.933
2903.139,55.933
2904.348,55.962
2904.731,55.962
2905.232,55.962
2905.821,55.962
2906.175,55.962
2906.794,55.962
2907.383,55.962
2907.766,55.962
2908.562,55.962
2908.65,55.962
2908.65,55.962
