new_cases,population
169,39835428
194,39835428
183,39835428
178,39835428
263,39835428
234,39835428
365,39835428
293,39835428
300,39835428
87,39835428
221,39835428
340,39835428
315,39835428
327,39835428
310,39835428
57,39835428
72,39835428
114,39835428
221,39835428
303,39835428
453,39835428
505,39835428
406,39835428
242,39835428
547,39835428
628,39835428
840,39835428
623,39835428
764,39835428
981,39835428
650,39835428
1077,39835428
1139,39835428
1049,39835428
1093,39835428
1509,39835428
1335,39835428
1261,39835428
1617,39835428
1485,39835428
1724,39835428
1842,39835428
1824,39835428
1024,39835428
1121,39835428
1597,39835428
1814,39835428
16,39835428
3243,39835428
2203,39835428
1787,39835428
1385,39835428
1996,39835428
1847,39835428
2208,39835428
1575,39835428
2060,39835428
1532,39835428
1096,39835428
1531,39835428
1407,39835428
1501,39835428
1557,39835428
1940,39835428
1329,39835428
1263,39835428
1189,39835428
1527,39835428
1557,39835428
1092,39835428
1473,39835428
1191,39835428
801,39835428
1075,39835428
1236,39835428
754,39835428
1210,39835428
1198,39835428
1173,39835428
378,39835428
897,39835428
915,39835428
348,39835428
421,39835428
256,39835428
227,39835428
205,39835428
414,39835428
723,39835428
544,39835428
444,39835428
527,39835428
631,39835428
347,39835428
484,39835428
587,39835428
361,39835428
428,39835428
449,39835428
