new_cases,population
430,39835428
218,39835428
320,39835428
235,39835428
278,39835428
272,39835428
207,39835428
171,39835428
92,39835428
109,39835428
101,39835428
120,39835428
48,39835428
37,39835428
49,39835428
14,39835428
72,39835428
77,39835428
62,39835428
100,39835428
138,39835428
47,39835428
26,39835428
115,39835428
72,39835428
40,39835428
46,39835428
69,39835428
20,39835428
28,39835428
111,39835428
92,39835428
110,39835428
104,39835428
122,39835428
20,39835428
8,39835428
104,39835428
86,39835428
103,39835428
78,39835428
126,39835428
0,39835428
0,39835428
98,39835428
127,39835428
45,39835428
43,39835428
160,39835428
0,39835428
0,39835428
112,39835428
21,39835428
35,39835428
46,39835428
17,39835428
0,39835428
0,39835428
96,39835428
22,39835428
71,39835428
49,39835428
19,39835428
18,39835428
42,39835428
32,39835428
59,39835428
28,39835428
55,39835428
6,39835428
51,39835428
25,39835428
12,39835428
25,39835428
58,39835428
32,39835428
40,39835428
9,39835428
4,39835428
96,39835428
31,39835428
53,39835428
42,39835428
30,39835428
14,39835428
40,39835428
34,39835428
23,39835428
16,39835428
40,39835428
29,39835428
5,39835428
0,39835428
0,39835428
0,39835428
17,39835428
42,39835428
31,39835428
23,39835428
42,39835428
58,39835428
39,39835428
90,39835428
0,39835428
73,39835428
52,39835428
32,39835428
15,39835428
104,39835428
17,39835428
112,39835428
27,39835428
19,39835428
28,39835428
42,39835428
29,39835428
70,39835428
28,39835428
25,39835428
19,39835428
23,39835428
45,39835428
9,39835428
34,39835428
43,39835428
18,39835428
8,39835428
22,39835428
15,39835428
12,39835428
5,39835428
60,39835428
9,39835428
11,39835428
42,39835428
10,39835428
19,39835428
25,39835428
37,39835428
9,39835428
8,39835428
56,39835428
16,39835428
31,39835428
39,39835428
19,39835428
28,39835428
23,39835428
82,39835428
,39835428
22,39835428
40,39835428
30,39835428
25,39835428
9,39835428
72,39835428
13,39835428
77,39835428
40,39835428
91,39835428
37,39835428
39,39835428
39,39835428
109,39835428
148,39835428
96,39835428
233,39835428
213,39835428
32,39835428
101,39835428
247,39835428
356,39835428
440,39835428
312,39835428
53,39835428
233,39835428
821,39835428
815,39835428
629,39835428
635,39835428
537,39835428
631,39835428
353,39835428
480,39835428
733,39835428
815,39835428
811,39835428
898,39835428
492,39835428
212,39835428
452,39835428
642,39835428
176,39835428
97,39835428
154,39835428
184,39835428
74,39835428
274,39835428
236,39835428
275,39835428
185,39835428
146,39835428
37,39835428
62,39835428
249,39835428
264,39835428
220,39835428
194,39835428
141,39835428
0,39835428
117,39835428
251,39835428
418,39835428
353,39835428
172,39835428
368,39835428
81,39835428
65,39835428
0,1373486472
1,1373486472
0,1373486472
0,1373486472
0,1373486472
0,1373486472
0,1373486472
0,1373486472
0,1373486472
0,1373486472
0,1373486472
0,1373486472
1,1373486472
0,1373486472
0,1373486472
1,1373486472
0,1373486472
1,1373486472
4,1373486472
3,1373486472
10,1373486472
3,1373486472
19,1373486472
0,1373486472
40,1373486472
8,1373486472
13,1373486472
14,1373486472
16,1373486472
42,1373486472
76,1373486472
65,1373486472
87,1373486472
88,1373486472
118,1373486472
178,1373486472
182,1373486472
206,1373486472
253,1373486472
383,1373486472
438,1373486472
523,1373486472
526,1373486472
580,1373486472
343,1373486472
564,1373486472
395,1373486472
586,1373486472
599,1373486472
656,1373486472
881,1373486472
682,1373486472
685,1373486472
716,1373486472
628,1373486472
806,1373486472
793,1373486472
694,1373486472
714,1373486472
869,1373486472
772,1373486472
971,1373486472
965,1373486472
1168,1373486472
1403,1373486472
1309,1373486472
1197,1373486472
1163,1373486472
1076,1373486472
1403,1373486472
1437,1373486472
1705,1373486472
1244,1373486472
1532,1373486472
1337,1373486472
1619,1373486472
2023,1373486472
1946,1373486472
1715,1373486472
2243,1373486472
1592,1373486472
2654,1373486472
2042,1373486472
2542,1373486472
2487,1373486472
3625,1373486472
2860,1373486472
2579,1373486472
3066,1373486472
3167,1373486472
2914,1373486472
3118,1373486472
2926,1373486472
3003,1373486472
3314,1373486472
3668,1373486472
3220,1373486472
3791,1373486472
4799,1373486472
3868,1373486472
3865,1373486472
4120,1373486472
4128,1373486472
3711,1373486472
5080,1373486472
4916,1373486472
5746,1373486472
6118,1373486472
5247,1373486472
5785,1373486472
4878,1373486472
5097,1373486472
7106,1373486472
7186,1373486472
6599,1373486472
6334,1373486472
6651,1373486472
6470,1373486472
6545,1373486472
7403,1373486472
8079,1373486472
8087,1373486472
8780,1373486472
9593,1373486472
7642,1373486472
8736,1373486472
8235,1373486472
9813,1373486472
11349,1373486472
9437,1373486472
8987,1373486472
9076,1373486472
11349,1373486472
11942,1373486472
11598,1373486472
12237,1373486472
10608,1373486472
11130,1373486472
11608,1373486472
13213,1373486472
14202,1373486472
15160,1373486472
15485,1373486472
13635,1373486472
13740,1373486472
17466,1373486472
14743,1373486472
19190,1373486472
17705,1373486472
18786,1373486472
16717,1373486472
16069,1373486472
14450,1373486472
18032,1373486472
20445,1373486472
19539,1373486472
19012,1373486472
18569,1373486472
15512,1373486472
13879,1373486472
19609,1373486472
18470,1373486472
22095,1373486472
18144,1373486472
18308,1373486472
13454,1373486472
13501,1373486472
17640,1373486472
17417,1373486472
19002,1373486472
16922,1373486472
12734,1373486472
10864,1373486472
9920,1373486472
15359,1373486472
14330,1373486472
13489,1373486472
14222,1373486472
12357,1373486472
9132,1373486472
7875,1373486472
9256,1373486472
10405,1373486472
12544,1373486472
11812,1373486472
9958,1373486472
8852,1373486472
8652,1373486472
10890,1373486472
10612,1373486472
10273,1373486472
10433,1373486472
9053,1373486472
7612,1373486472
7537,1373486472
8856,1373486472
8548,1373486472
8109,1373486472
8364,1373486472
8470,1373486472
6813,1373486472
7163,1373486472
8714,1373486472
7746,1373486472
8579,1373486472
7392,1373486472
7822,1373486472
6873,1373486472
7679,1373486472
8294,1373486472
8048,1373486472
8695,1373486472
7408,1373486472
6745,1373486472
6481,1373486472
6556,1373486472
7327,1373486472
8602,1373486472
8168,1373486472
8728,1373486472
8420,1373486472
6146,1373486472
6838,1373486472
8726,1373486472
8186,1373486472
7978,1373486472
6412,1373486472
8368,1373486472
5667,1373486472
7511,1373486472
8430,1373486472
7265,1373486472
8849,1373486472
8828,1373486472
8093,1373486472
4707,1373486472
6595,1373486472
10554,1373486472
10904,1373486472
8563,1373486472
13531,1373486472
8978,1373486472
5877,1373486472
7840,1373486472
11512,1373486472
9107,1373486472
10680,1373486472
14267,1373486472
8193,1373486472
9685,1373486472
9787,1373486472
10479,1373486472
10966,1373486472
10418,1373486472
11761,1373486472
9096,1373486472
10691,1373486472
8672,1373486472
11903,1373486472
11066,1373486472
13604,1373486472
11074,1373486472
10293,1373486472
7576,1373486472
10875,1373486472
14009,1373486472
15391,1373486472
11718,1373486472
15019,1373486472
12504,1373486472
8897,1373486472
13164,1373486472
14017,1373486472
15757,1373486472
14663,1373486472
14087,1373486472
12560,1373486472
10317,1373486472
12873,1373486472
15285,1373486472
13926,1373486472
15744,1373486472
13357,1373486472
12795,1373486472
10075,1373486472
12504,1373486472
14646,1373486472
13933,1373486472
16039,1373486472
13401,1373486472
13077,1373486472
10341,1373486472
10837,1373486472
16411,1373486472
15642,1373486472
17968,1373486472
14768,1373486472
13476,1373486472
10634,1373486472
13255,1373486472
19397,1373486472
19135,1373486472
19079,1373486472
18137,1373486472
16226,1373486472
11405,1373486472
17987,1373486472
21162,1373486472
20519,1373486472
19320,1373486472
21268,1373486472
18426,1373486472
16787,1373486472
19987,1373486472
25747,1373486472
27045,1373486472
25785,1373486472
21383,1373486472
18675,1373486472
15199,1373486472
20128,1373486472
30593,1373486472
29789,1373486472
27749,1373486472
22890,1373486472
21995,1373486472
21775,1373486472
26845,1373486472
35789,1373486472
35437,1373486472
36440,1373486472
35072,1373486472
31638,1373486472
27998,1373486472
26070,1373486472
34061,1373486472
34247,1373486472
31558,1373486472
27528,1373486472
26628,1373486472
22417,1373486472
23484,1373486472
28336,1373486472
27950,1373486472
25980,1373486472
27364,1373486472
20181,1373486472
16634,1373486472
18607,1373486472
20861,1373486472
20778,1373486472
19206,1373486472
17868,1373486472
15762,1373486472
12690,1373486472
14824,1373486472
15462,1373486472
16466,1373486472
15932,1373486472
13340,1373486472
11941,1373486472
11351,1373486472
11292,1373486472
13127,1373486472
11918,1373486472
13901,1373486472
10931,1373486472
10415,1373486472
9840,1373486472
9994,1373486472
12166,1373486472
14048,1373486472
11044,1373486472
9539,1373486472
9511,1373486472
9019,1373486472
7752,1373486472
10486,1373486472
12366,1373486472
11079,1373486472
7832,1373486472
9414,1373486472
8789,1373486472
7551,1373486472
10864,1373486472
12578,1373486472
8537,1373486472
9955,1373486472
8473,1373486472
9287,1373486472
7805,1373486472
10421,1373486472
15221,1373486472
9869,1373486472
10330,1373486472
8558,1373486472
8518,1373486472
9043,1373486472
10987,1373486472
11302,1373486472
12621,1373486472
9247,1373486472
9135,1373486472
9709,1373486472
8597,1373486472
10822,1373486472
12574,1373486472
18432,1373486472
9599,1373486472
8909,1373486472
9745,1373486472
9784,1373486472
12699,1373486472
22279,1373486472
13071,1373486472
8803,1373486472
9551,1373486472
9223,1373486472
9612,1373486472
11659,1373486472
16813,1373486472
12561,1373486472
9714,1373486472
9742,1373486472
10212,1373486472
9773,1373486472
13922,1373486472
12644,1373486472
12054,1373486472
13359,1373486472
9351,1373486472
8749,1373486472
10122,1373486472
11867,1373486472
12470,1373486472
12065,1373486472
10152,1373486472
9459,1373486472
6861,1373486472
9799,1373486472
9498,1373486472
15598,1373486472
9440,1373486472
7975,1373486472
6224,1373486472
6908,1373486472
7271,1373486472
9627,1373486472
13277,1373486472
9370,1373486472
6392,1373486472
9725,1373486472
6989,1373486472
7272,1373486472
9031,1373486472
8638,1373486472
8168,1373486472
6991,1373486472
7153,1373486472
7329,1373486472
10676,1373486472
10184,1373486472
11508,1373486472
10166,1373486472
9988,1373486472
8139,1373486472
8498,1373486472
5823,1373486472
14206,1373486472
11693,1373486472
12448,1373486472
11867,1373486472
5964,1373486472
13186,1373486472
10120,1373486472
13822,1373486472
14831,1373486472
14937,1373486472
12708,1373486472
12729,1373486472
11406,1373486472
12994,1373486472
18517,1373486472
21743,1373486472
19898,1373486472
20859,1373486472
16913,1373486472
15622,1373486472
19851,1373486472
26299,1373486472
27278,1373486472
24105,1373486472
23740,1373486472
23008,1373486472
23799,1373486472
22756,1373486472
32879,1373486472
34062,1373486472
35083,1373486472
34609,1373486472
27510,1373486472
24928,1373486472
28374,1373486472
38802,1373486472
42918,1373486472
43159,1373486472
43476,1373486472
31743,1373486472
28288,1373486472
36870,1373486472
44424,1373486472
47314,1373486472
46609,1373486472
45466,1373486472
35453,1373486472
34505,1373486472
38475,1373486472
44209,1373486472
48610,1373486472
41398,1373486472
39048,1373486472
36013,1373486472
30235,1373486472
33568,1373486472
33399,1373486472
38632,1373486472
31666,1373486472
35576,1373486472
33032,1373486472
33802,1373486472
31442,1373486472
48624,1373486472
47636,1373486472
43023,1373486472
36215,1373486472
34210,1373486472
34166,1373486472
32704,1373486472
45181,1373486472
47809,1373486472
41995,1373486472
36319,1373486472
34061,1373486472
33177,1373486472
34503,1373486472
34605,1373486472
46340,1373486472
40479,1373486472
33881,1373486472
29266,1373486472
29032,1373486472
32277,1373486472
43954,1373486472
39337,1373486472
37147,1373486472
31232,1373486472
27793,1373486472
48277,1373486472
29802,1373486472
36083,1373486472
38576,1373486472
34014,1373486472
29276,1373486472
21397,1373486472
21452,1373486472
22708,1373486472
30793,1373486472
28451,1373486472
26115,1373486472
21285,1373486472
18194,1373486472
16836,1373486472
19011,1373486472
23622,1373486472
21752,1373486472
19874,1373486472
15485,1373486472
13101,1373486472
12374,1373486472
25179,1373486472
17315,1373486472
21379,1373486472
16028,1373486472
11494,1373486472
9418,1373486472
10929,1373486472
11480,1373486472
16021,1373486472
39078,1373486472
12063,1373486472
9925,1373486472
6021,1373486472
8889,1373486472
8775,1373486472
16022,1373486472
13595,1373486472
17344,1373486472
6361,1373486472
5455,1373486472
4939,1373486472
9000,1373486472
12375,1373486472
8063,1373486472
6108,1373486472
4792,1373486472
4702,1373486472
5316,1373486472
5616,1373486472
9688,1373486472
6366,1373486472
6019,1373486472
4666,1373486472
3983,1373486472
6802,1373486472
6054,1373486472
4586,1373486472
5700,1373486472
4648,1373486472
4015,1373486472
3297,1373486472
6701,1373486472
5043,1373486472
7609,1373486472
5895,1373486472
4911,1373486472
3641,1373486472
4084,1373486472
4677,1373486472
4850,1373486472
5595,1373486472
5001,1373486472
10810,1373486472
4408,1373486472
3954,1373486472
5370,1373486472
5742,1373486472
8986,1373486472
5882,1373486472
4896,1373486472
4115,1373486472
2979,1373486472
5616,1373486472
5371,1373486472
4917,1373486472
5037,1373486472
4825,1373486472
4004,1373486472
4249,1373486472
4243,1373486472
5056,1373486472
5838,1373486472
5877,1373486472
5730,1373486472
5559,1373486472
5573,1373486472
6688,1373486472
8181,1373486472
13285,1373486472
15939,1373486472
21636,1373486472
20430,1373486472
14534,1373486472
17160,1373486472
20150,1373486472
33732,1373486472
32457,1373486472
27097,1373486472
32984,1373486472
45379,1373486472
17081,1373486472
38980,1373486472
47002,1373486472
44313,1373486472
41570,1373486472
28193,1373486472
29086,1373486472
34469,1373486472
35545,1373486472
50937,1373486472
55955,1373486472
49308,1373486472
41085,1373486472
23634,1373486472
32569,1373486472
42630,1373486472
48937,1373486472
60523,1373486472
52550,1373486472
40559,1373486472
23037,1373486472
27514,1373486472
58091,1373486472
55236,1373486472
57641,1373486472
48460,1373486472
42379,1373486472
28697,1373486472
31633,1373486472
38467,1373486472
39883,1373486472
46602,1373486472
40292,1373486472
36976,1373486472
17418,1373486472
30200,1373486472
26951,1373486472
35229,1373486472
49355,1373486472
37422,1373486472
41068,1373486472
16482,1373486472
26924,1373486472
56070,1373486472
33504,1373486472
37504,1373486472
28556,1373486472
32972,1373486472
16386,1373486472
29410,1373486472
27003,1373486472
19647,1373486472
31865,1373486472
17563,1373486472
22435,1373486472
16589,1373486472
15320,1373486472
17353,1373486472
21429,1373486472
21034,1373486472
18311,1373486472
13909,1373486472
11536,1373486472
13865,1373486472
13899,1373486472
18127,1373486472
17588,1373486472
16751,1373486472
9369,1373486472
15250,1373486472
11221,1373486472
12999,1373486472
13590,1373486472
12339,1373486472
12098,1373486472
8749,1373486472
8515,1373486472
7746,1373486472
7355,1373486472
6736,1373486472
6103,1373486472
6862,1373486472
7078,1373486472
3424,1373486472
3882,1373486472
15922,1373486472
5184,1373486472
17036,1373486472
5402,1373486472
10795,1373486472
,2872934
,2872934
,2872934
,2872934
,2872934
,2872934
,2872934
,2872934
,2872934
,2872934
,2872934
,2872934
,2872934
2,2872934
8,2872934
2,2872934
11,2872934
10,2872934
5,2872934
4,2872934
9,2872934
4,2872934
4,2872934
5,2872934
6,2872934
6,2872934
13,2872934
15,2872934
19,2872934
23,2872934
28,2872934
12,2872934
11,2872934
15,2872934
11,2872934
20,2872934
16,2872934
18,2872934
27,2872934
29,2872934
28,2872934
16,2872934
6,2872934
17,2872934
9,2872934
7,2872934
17,2872934
13,2872934
21,2872934
8,2872934
19,2872934
24,2872934
21,2872934
9,2872934
14,2872934
22,2872934
25,2872934
25,2872934
29,2872934
15,2872934
34,2872934
14,2872934
10,2872934
14,2872934
16,2872934
7,2872934
9,2872934
7,2872934
6,2872934
8,2872934
17,2872934
12,2872934
10,2872934
8,2872934
6,2872934
12,2872934
4,2872934
4,2872934
4,2872934
18,2872934
18,2872934
17,2872934
13,2872934
2,2872934
1,2872934
15,2872934
5,2872934
12,2872934
8,2872934
9,2872934
6,2872934
25,2872934
21,2872934
26,2872934
23,2872934
23,2872934
15,2872934
6,2872934
21,2872934
20,2872934
13,2872934
15,2872934
20,2872934
14,2872934
17,2872934
36,2872934
42,2872934
44,2872934
31,2872934
48,2872934
57,2872934
69,2872934
82,2872934
50,2872934
66,2872934
50,2872934
53,2872934
71,2872934
33,2872934
52,2872934
67,2872934
78,2872934
77,2872934
61,2872934
72,2872934
64,2872934
69,2872934
45,2872934
82,2872934
90,2872934
67,2872934
74,2872934
71,2872934
74,2872934
68,2872934
82,2872934
90,2872934
93,2872934
83,2872934
117,2872934
96,2872934
85,2872934
99,2872934
55,2872934
102,2872934
82,2872934
81,2872934
119,2872934
68,2872934
108,2872934
104,2872934
67,2872934
126,2872934
117,2872934
117,2872934
108,2872934
92,2872934
79,2872934
120,2872934
123,2872934
101,2872934
130,2872934
139,2872934
127,2872934
135,2872934
124,2872934
136,2872934
125,2872934
140,2872934
141,2872934
154,2872934
146,2872934
143,2872934
120,2872934
119,2872934
155,2872934
158,2872934
155,2872934
152,2872934
156,2872934
152,2872934
178,2872934
154,2872934
168,2872934
156,2872934
112,2872934
84,2872934
101,2872934
133,2872934
93,2872934
122,2872934
116,2872934
123,2872934
135,2872934
153,2872934
151,2872934
147,2872934
151,2872934
156,2872934
161,2872934
164,2872934
168,2872934
167,2872934
152,2872934
144,2872934
132,2872934
125,2872934
153,2872934
159,2872934
150,2872934
131,2872934
121,2872934
134,2872934
124,2872934
108,2872934
106,2872934
132,2872934
127,2872934
131,2872934
157,2872934
159,2872934
152,2872934
149,2872934
144,2872934
158,2872934
162,2872934
169,2872934
167,2872934
165,2872934
168,2872934
171,2872934
182,2872934
203,2872934
257,2872934
289,2872934
273,2872934
281,2872934
295,2872934
301,2872934
297,2872934
302,2872934
306,2872934
302,2872934
299,2872934
288,2872934
284,2872934
311,2872934
275,2872934
319,2872934
241,2872934
327,2872934
321,2872934
381,2872934
396,2872934
421,2872934
489,2872934
495,2872934
501,2872934
525,2872934
563,2872934
507,2872934
410,2872934
490,2872934
532,2872934
597,2872934
602,2872934
694,2872934
711,2872934
786,2872934
836,2872934
737,2872934
565,2872934
795,2872934
744,2872934
644,2872934
656,2872934
645,2872934
545,2872934
835,2872934
557,2872934
832,2872934
705,2872934
782,2872934
801,2872934
846,2872934
840,2872934
695,2872934
753,2872934
752,2872934
873,2872934
802,2872934
879,2872934
788,2872934
661,2872934
809,2872934
637,2872934
787,2872934
580,2872934
538,2872934
461,2872934
422,2872934
389,2872934
503,2872934
510,2872934
553,2872934
375,2872934
499,2872934
318,2872934
574,2872934
581,2872934
589,2872934
0,2872934
675,2872934
447,2872934
185,2872934
660,2872934
725,2872934
697,2872934
673,2872934
655,2872934
562,2872934
376,2872934
656,2872934
707,2872934
660,2872934
641,2872934
581,2872934
474,2872934
292,2872934
586,2872934
670,2872934
678,2872934
739,2872934
786,2872934
833,2872934
538,2872934
879,2872934
876,2872934
887,2872934
896,2872934
901,2872934
876,2872934
865,2872934
942,2872934
1007,2872934
1052,2872934
1089,2872934
1130,2872934
1124,2872934
953,2872934
1239,2872934
1143,2872934
1105,2872934
1059,2872934
1152,2872934
1088,2872934
775,2872934
801,2872934
1075,2872934
1112,2872934
1071,2872934
1153,2872934
1184,2872934
1039,2872934
1021,2872934
1021,2872934
986,2872934
916,2872934
986,2872934
952,2872934
764,2872934
892,2872934
851,2872934
847,2872934
780,2872934
777,2872934
819,2872934
683,2872934
629,2872934
631,2872934
602,2872934
681,2872934
698,2872934
653,2872934
543,2872934
475,2872934
446,2872934
590,2872934
494,2872934
519,2872934
659,2872934
344,2872934
303,2872934
448,2872934
472,2872934
449,2872934
425,2872934
493,2872934
285,2872934
304,2872934
434,2872934
349,2872934
336,2872934
341,2872934
348,2872934
264,2872934
141,2872934
256,2872934
317,2872934
286,2872934
360,2872934
238,2872934
125,2872934
234,2872934
207,2872934
169,2872934
179,2872934
149,2872934
138,2872934
100,2872934
148,2872934
138,2872934
134,2872934
156,2872934
139,2872934
128,2872934
69,2872934
130,2872934
123,2872934
118,2872934
108,2872934
100,2872934
53,2872934
38,2872934
51,2872934
92,2872934
91,2872934
67,2872934
89,2872934
57,2872934
30,2872934
50,2872934
42,2872934
45,2872934
49,2872934
39,2872934
37,2872934
17,2872934
39,2872934
24,2872934
23,2872934
35,2872934
23,2872934
33,2872934
6,2872934
14,2872934
15,2872934
20,2872934
21,2872934
12,2872934
12,2872934
6,2872934
22,2872934
14,2872934
9,2872934
12,2872934
2,2872934
5,2872934
5,2872934
13,2872934
18,2872934
11,2872934
11,2872934
12,2872934
10,2872934
2,2872934
8,2872934
7,2872934
5,2872934
3,2872934
4,2872934
2,2872934
0,2872934
6,2872934
1,2872934
2,2872934
7,2872934
3,2872934
3,2872934
1,2872934
1,2872934
7,2872934
2,2872934
3,2872934
8,2872934
1,2872934
2,2872934
7,2872934
13,2872934
8,2872934
15,2872934
7,2872934
5,2872934
5,2872934
11,2872934
8,2872934
13,2872934
18,2872934
18,2872934
21,2872934
11,2872934
43,2872934
23,2872934
34,2872934
31,2872934
25,2872934
22,2872934
16,2872934
31,2872934
30,2872934
47,2872934
37,2872934
45,2872934
40,2872934
25,2872934
65,2872934
99,2872934
132,2872934
149,2872934
139,2872934
182,2872934
69,2872934
220,2872934
286,2872934
274,2872934
379,2872934
410,2872934
397,2872934
200,2872934
451,2872934
477,2872934
522,2872934
535,2872934
658,2872934
534,2872934
397,2872934
800,2872934
844,2872934
888,2872934
921,2872934
905,2872934
768,2872934
486,2872934
1054,2872934
982,2872934
853,2872934
895,2872934
984,2872934
896,2872934
502,2872934
740,2872934
1079,2872934
998,2872934
977,2872934
869,2872934
864,2872934
410,2872934
995,2872934
992,2872934
942,2872934
